Title,Link,Image,Excerpt
Amplía Gobernador a 4 mdp presupuesto para huertosfamiliares en traspatio,https://comunicachihuahua.desarrollosenlanube.net/20-04-2020/4085,https://i2.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/amplia-gobernador-a-4-mdp-presupuesto-para-huertosfamiliares-en-traspatio_5e9dec41af0f9.jpeg?resize=350%2C250&ssl=1,"Gracias a ajustes en el Despacho del mandatario estatal, se aumentarán los recursos para el Programa de Semillas que inicialmente..."
Chihuahua está del lado correcto de la historia conrespuesta enérgica a COVID-19: Doctor de Harvard,https://comunicachihuahua.desarrollosenlanube.net/20-04-2020/4082,https://i1.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/chihuahua-esta-del-lado-correcto-de-la-historia-conrespuesta-energica-a-covid-19-doctor-de-harvard_5e9de66982a03.jpeg?resize=350%2C250&ssl=1,"—Héctor Carrasco, médico chihuahuense con maestría en la Universidad Johns Hopkins y doctorado en la especialidad en Harvard, participa como..."
"Atiende Estado 6,186 solicitudes de MiPyMEs para créditos ysubsidios de programa emergente",https://comunicachihuahua.desarrollosenlanube.net/20-04-2020/4071,https://i1.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/atiende-estado-6186-solicitudes-de-mipymes-para-creditos-ysubsidios-de-programa-emergente_5e9dde17e22c1.jpeg?resize=350%2C250&ssl=1,"En el marco del Plan Emergente de Apoyo y Protección a la Salud, Empleo e Ingreso Familiar, se destinaron 249..."
"Aprovechan capacitaciones empresariales gratuitas 1,057chihuahuenses",https://comunicachihuahua.desarrollosenlanube.net/20-04-2020/4074,https://i1.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/aprovechan-capacitaciones-empresariales-gratuitas-1057chihuahuenses_5e9dde3777ec3.jpeg?resize=350%2C250&ssl=1,"La SIDE, a través de Fideapech abrió cursos y talleres en línea para apoyar a las MiPyMes a mitigar el..."
Ofrece Cultura tutorial de “Acuarela Literaria”,https://comunicachihuahua.desarrollosenlanube.net/20-04-2020/4078,https://i1.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/ofrece-cultura-tutorial-de-acuarela-literaria_5e9dde3e448b6-scaled.jpeg?resize=350%2C250&ssl=1,"Todos los martes a las 4 de la tarde, la Secretaría de Cultura imparte un capítulo nuevo en https://www.facebook.com/CulturaChih/, como..."
Superan 17 chihuahuenses COVID-19 y 365 han sido descartadosen las pruebas,https://comunicachihuahua.desarrollosenlanube.net/20-04-2020/4068,https://i1.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/superan-17-chihuahuenses-covid-19-y-365-han-sido-descartadosen-las-pruebas_5e9dc0d71d7ad.jpeg?resize=350%2C250&ssl=1,"Informa la Secretaría de Salud que en el reporte de las últimas 24 horas, destaca la disminución de 23 casos..."
Conoce en dónde y para qué actividades se deberá usarcubrebocas,https://comunicachihuahua.desarrollosenlanube.net/19-04-2020/4064,https://i0.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/conoce-en-donde-y-para-que-actividades-se-debera-usarcubrebocas_5e9ce3575161a.jpeg?resize=350%2C250&ssl=1,El Acuerdo 064/2020 publicado este domingo en el Periódico Oficial del Estado incluye las recomendaciones para su manejo y fija...
Se publica Acuerdo que amplía restricciones y suspensión deactividades no esenciales hasta el 30 de mayo,https://comunicachihuahua.desarrollosenlanube.net/19-04-2020/4062,https://i2.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/se-publica-acuerdo-que-amplia-restricciones-y-suspension-deactividades-no-esenciales-hasta-el-30-de-mayo_5e9cc15c95d9e.jpeg?resize=350%2C250&ssl=1,El gobernador Javier Corral presenta los detalles de la nueva emisión que actualiza las medidas de prevención y mitigación frente...
Ante emergencia no correrán plazos y términos legales enJuntas de Conciliación y Arbitraje,https://comunicachihuahua.desarrollosenlanube.net/19-04-2020/4058,https://i1.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/ante-emergencia-no-correran-plazos-y-terminos-legales-enjuntas-de-conciliacion-y-arbitraje_5e9cc02e5eadb.jpeg?resize=350%2C250&ssl=1,"—Durante este período serán declarados como días inhábiles pero laborables; se mantiene atención para celebrar convenios, cumplimiento de laudos, desistimientos..."
Crea Gobernador nueva Subsecretaría para derrotar alcoronavirus en Chihuahua,https://comunicachihuahua.desarrollosenlanube.net/19-04-2020/4055,https://i0.wp.com/comunicachihuahua.desarrollosenlanube.net/wp-content/uploads/2020/04/crea-gobernador-nueva-subsecretaria-para-derrotar-alcoronavirus-en-chihuahua_5e9cb47d2e03b.jpeg?resize=350%2C250&ssl=1,"Conforme a lo dispuesto en nuevo Acuerdo 064/2020, toma Javier Corral protesta a Mirna Beltrán Arzaga como titular de la..."
